Job,Phase,Cost
25-011.SAWMILL BAY SOLAR,50.AGGREGATES,5022.HAUL EXC. MAT'LS
25-011.SAWMILL BAY SOLAR,50.AGGREGATES,5061.FURNISH BANK RUN SAND
25-011.SAWMILL BAY SOLAR,80.LONG FORM PO'S,PO101.JEFFERSON CONCRETE
25-011.SAWMILL BAY SOLAR,80.LONG FORM PO'S,PO105.MCQUADE & BANNIGAN
25-011.SAWMILL BAY SOLAR,90.SUBCONTRACTS,S01.LANDSCAPING SUB
25-011.SAWMILL BAY SOLAR,90.SUBCONTRACTS,S02.SEEDING SUB
25-011.SAWMILL BAY SOLAR,99.CHANGES,PC-001.FURNISH/INSTL INVERTER POST
26-000.2026 AJK Small Jobs,01.SNOW PLOWING,1010.LABOR
26-000.2026 AJK Small Jobs,01.SNOW PLOWING,1020.MATERIAL
26-000.2026 AJK Small Jobs,03.TRUCKING FOR OTHERS,1010.LABOR
26-000.2026 AJK Small Jobs,03.TRUCKING FOR OTHERS,1020.MATERIALS
26-000.2026 AJK Small Jobs,04.BARN DEMO,1010.LABOR
26-000.2026 AJK Small Jobs,04.BARN DEMO,1020.MATERIALS
26-000.2026 AJK Small Jobs,05.LF5 FERRIC PAD EPOXY,1010.LABOR
26-000.2026 AJK Small Jobs,05.LF5 FERRIC PAD EPOXY,1020.MATERIAL
